title,rating,director
The Exorcist,8,William Friedkin
Into the Wild,6,Sean Penn
The Godfather: Part II,9,Francis Ford Coppola
Taxi Driver,9,Martin Scorsese
Annie Hall,8,Woody Allen
The Brood,7,David Cronenberg
Network,9,Sidney Lumet
Apocalypse Now,10,Francis Ford Coppola
Blade Runner,8,Ridley Scott
Dallas Buyers Club,6,Jean-Marc Vallée
In Bruges,7,Martin McDonagh
Halloween,8,John Carpenter
Manhattan,8,Woody Allen
Fitzcarraldo,8,Werner Herzog
Scarface,6,Brian De Palma
Broken Embraces,6,Pedro Almodóvar
Stranger Than Paradise,8,Jim Jarmusch
Down by Law,8,Jim Jarmusch
Videodrome,8,David Cronenberg
Withnail & I,7,Bruce Robinson
The Mosquito Coast,5,Peter Weir
Taken,5,Pierre Morel
The Untouchables,6,Brian De Palma
The Fly,8,David Cronenberg
Half Nelson,6,Ryan Fleck
Half Nelson,6,Anna Boden
Dead Man,8,Jim Jarmusch
Matador,6,Pedro Almodóvar
Raising Arizona,7,Joel Coen
Foxcatcher,6,Bennett Miller
Dogtooth,8,Yorgos Lanthimos
The Social Network,7,David Fincher
Coffee and Cigarettes,7,Jim Jarmusch
12 Angry Men,10,Sidney Lumet
A Girl Walks Home Alone at Night,6,Ana Lily Amirpour
"Synecdoche, New York",7,Charlie Kaufman
The Graduate,8,Mike Nichols
Philomena,6,Stephen Frears
The Motorcycle Diaries,7,Walter Salles
American Psycho,7,Mary Harron
Chinatown,9,Roman Polanski
Breathless,7,Jean-Luc Godard
No Country for Old Men,9,Joel Coen
No Country for Old Men,9,Ethan Coen
Paths of Glory,9,Stanley Kubrick
The Shining,8,Stanley Kubrick
On the Waterfront,8,Elia Kazan
There Will Be Blood,8,Paul Thomas Anderson
The Panic in Needle Park,7,Jerry Schatzberg
The Texas Chain Saw Massacre,7,Tobe Hooper
High-Rise,5,Ben Wheatley
"Paris, Texas",10,Wim Wenders
Stop Making Sense,9,Jonathan Demme
The Conversation,9,Francis Ford Coppola
The Conversation,9,The Directors Company
Donnie Darko,7,Richard Kelly
One Flew Over the Cuckoo's Nest,9,Miloš Forman
Full Metal Jacket,8,Stanley Kubrick
Brazil,7,Terry Gilliam
Requiem for a Dream,7,Darren Aronofsky
Rumble Fish,7,Francis Ford Coppola
Wild Tales,7,Damián Szifron
Rosemary's Baby,8,Roman Polanski
Dazed and Confused,8,Richard Linklater
Glengarry Glen Ross,8,James Foley
Casablanca,9,Michael Curtiz
The Lobster,6,Yorgos Lanthimos
Ex Machina,8,Alex Garland
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9,Stanley Kubrick
Wings of Desire,9,Wim Wenders
The Silence of the Lambs,8,Jonathan Demme
Big Hero 6,7,Chris Williams
Big Hero 6,7,Don Hall
The Truman Show,8,Peter Weir
Crimson Peak,7,Guillermo del Toro
Inherent Vice,6,Paul Thomas Anderson
The Bad Lieutenant: Port of Call - New Orleans,6,Werner Herzog
Psycho,8,Alfred Hitchcock
Bernie,7,Richard Linklater
Local Hero,8,Bill Forsyth
Boogie Nights,8,Paul Thomas Anderson
Alps,6,Yorgos Lanthimos
Slow West,7,John Maclean
Amélie,8,Jean-Pierre Jeunet
The Killing,8,Stanley Kubrick
The Tree of Life,8,Terrence Malick
Harold and Maude,7,Hal Ashby
A Clockwork Orange,8,Stanley Kubrick
Girlhood,7,Céline Sciamma
The Empire Strikes Back,8,Irvin Kershner
Mommy,8,Xavier Dolan
A Most Violent Year,7,J.C. Chandor
Léon: The Professional,7,Luc Besson
Star Wars,8,George Lucas
Night on Earth,7,Jim Jarmusch
Mad Max: Fury Road,7,George Miller
Marvellous,8,Julian Farino
Persepolis,8,Vincent Paronnaud
Persepolis,8,Marjane Satrapi
Room,7,Lenny Abrahamson
Elephant,7,Gus Van Sant
Bicycle Thieves,8,Vittorio De Sica
My Neighbor Totoro,9,Hayao Miyazaki
Dog Day Afternoon,8,Sidney Lumet
Star Wars: The Force Awakens,5,J.J. Abrams
Rosetta,8,Luc Dardenne
Rosetta,8,Jean-Pierre Dardenne
Clerks,7,Kevin Smith
Safe,8,Todd Haynes
Return of the Jedi,7,Richard Marquand
45 Years,7,Andrew Haigh
Spirited Away,9,Hayao Miyazaki
Shaun of the Dead,8,Edgar Wright
Amy,8,Asif Kapadia
2001: A Space Odyssey,10,Stanley Kubrick
And Now for Something Completely Different,7,Ian MacNaughton
Touch of Evil,7,Orson Welles
Zootopia,5,Byron Howard
Zootopia,5,Rich Moore
Zootopia,5,Jared Bush
The Master,8,Paul Thomas Anderson
The 39 Steps,7,Alfred Hitchcock
Mystery Train,8,Jim Jarmusch
Alien,8,Ridley Scott
Life of Brian,8,Terry Jones
Rashomon,8,Akira Kurosawa
Drive,7,Nicolas Winding Refn
The Great Ecstasy of Woodcarver Steiner,8,Werner Herzog
Battleship Potemkin,7,Sergei Eisenstein
Ran,10,Akira Kurosawa
The Wolfpack,6,Crystal Moselle
Brief Encounter,8,David Lean
"The Cook, the Thief, His Wife & Her Lover",9,Peter Greenaway
Monty Python and the Holy Grail,8,Terry Gilliam
Monty Python and the Holy Grail,8,Terry Jones
City of God,8,Fernando Meirelles
City of God,8,Kátia Lund
City of God,8,Kátia Lund
Rope,8,Alfred Hitchcock
Moon,8,Duncan Jones
Ponyo,8,Hayao Miyazaki
Woyzeck,7,Werner Herzog
A Zed & Two Noughts,7,Peter Greenaway
The Rules of the Game,8,Jean Renoir
The Enigma of Kaspar Hauser,9,Werner Herzog
Shadows,7,John Cassavetes
Nosferatu the Vampyre,8,Werner Herzog
"Distant Voices, Still Lives",7,Terence Davies
The Long Goodbye,8,Robert Altman
Vivre Sa Vie,8,Jean-Luc Godard
Stroszek,8,Werner Herzog
Yojimbo,9,Akira Kurosawa
Germany Year Zero,8,Roberto Rossellini
Drowning by Numbers,8,Peter Greenaway
Three Businessmen,7,Alex Cox
The Squid and the Whale,8,Noah Baumbach
Ghost Dog: The Way of the Samurai,8,Jim Jarmusch
Ratcatcher,8,Lynne Ramsay
99 Homes,7,Ramin Bahrani
The Third Man,9,Carol Reed
Zodiac,7,David Fincher
The Hard Stop,7,George Amponsah
Throne of Blood,8,Akira Kurosawa
Mirror,7,Andrei Tarkovsky
Mustang,7,Deniz Gamze Ergüven
Morvern Callar,7,Lynne Ramsay
The Naked Island,8,Kaneto Shindō
The Wild Child,7,François Truffaut
Onibaba,9,Kaneto Shindō
Sanjuro,8,Akira Kurosawa
The Passion of Joan of Arc,8,Carl Theodor Dreyer
Listen to Me Marlon,7,Stevan Riley
The 400 Blows,8,François Truffaut
Grave of the Fireflies,8,Isao Takahata
Eastern Promises,7,David Cronenberg
The Secret World of Arrietty,6,Hiromasa Yonebayashi
Fata Morgana,7,Werner Herzog
Beauty and the Beast,8,Jean Cocteau
Repo Man,7,Alex Cox
The Wind Rises,8,Hayao Miyazaki
Oldboy,8,Park Chan-wook
Jurassic Park,7,Steven Spielberg
Journey to Italy,7,Roberto Rossellini
Fantastic Mr. Fox,6,Wes Anderson
Tangerine,5,Sean Baker
L'Âge d'Or,7,Luis Buñuel
The King of Comedy,9,Martin Scorsese
The Lady Vanishes,7,Alfred Hitchcock
Black Narcissus,8,Emeric Pressburger
Black Narcissus,8,Michael Powell
The Red Shoes,8,Emeric Pressburger
The Red Shoes,8,Michael Powell
Of Time and the City,7,Terence Davies
Hell or High Water,7,David Mackenzie
A History of Violence,6,David Cronenberg
The Draughtsman's Contract,8,Peter Greenaway
Woman in the Dunes,10,Hiroshi Teshigahara
The Lodger: A Story of the London Fog,7,Alfred Hitchcock
Prevenge,5,Alice Lowe
Hitchcock/Truffaut,7,Kent Jones
Under the Shadow,7,Babak Anvari
Taste of Cherry,7,Abbas Kiarostami
Raw,7,Julia Ducournau
Lost Highway,7,David Lynch
A Matter of Life and Death,8,Emeric Pressburger
A Matter of Life and Death,8,Michael Powell
Ikiru,9,Akira Kurosawa
Drácula,6,Enrique Tovar Ávalos
Drácula,6,George Melford
Aliens,8,James Cameron
Victoria,7,Sebastian Schipper
A Woman Under the Influence,8,John Cassavetes
I Am Belfast,6,Mark Cousins
Green Room,7,Jeremy Saulnier
Escape from New York,7,John Carpenter
Crimes and Misdemeanors,8,Woody Allen
Blue Velvet,8,David Lynch
Tokyo Story,8,Yasujirō Ozu
The Birds,6,Alfred Hitchcock
"Play It Again, Sam",8,Herbert Ross
Paterson,8,Jim Jarmusch
Faces,8,John Cassavetes
The Maltese Falcon,7,John Huston
The Witch,7,Robert Eggers
The Immigrant,7,Charlie Chaplin
Raging Bull,8,Martin Scorsese
They Live,8,John Carpenter
Young Frankenstein,8,Mel Brooks
The Thing,9,John Carpenter
Gimme Danger,7,Jim Jarmusch
Sing Street,6,John Carney
Lo and Behold: Reveries of the Connected World,6,Werner Herzog
The Purple Rose of Cairo,8,Woody Allen
Suspiria,8,Dario Argento
Citizen Kane,9,Orson Welles
Assault on Precinct 13,7,John Carpenter
The Beatles: Eight Days a Week - The Touring Years,7,Ron Howard
Seven Samurai,9,Akira Kurosawa
Mean Streets,7,Martin Scorsese
Tale of Tales,6,Matteo Garrone
The Elephant Man,8,David Lynch
The Fog,6,John Carpenter
Close-Up,9,Abbas Kiarostami
Night of the Living Dead,8,George A. Romero
A Personal Journey with Martin Scorsese Through American Movies,8,Martin Scorsese
A Personal Journey with Martin Scorsese Through American Movies,8,Michael Henry Wilson
Contempt,8,Jean-Luc Godard
Highway Patrolman,8,Alex Cox
The Pawnshop,7,Charlie Chaplin
Red Beard,8,Akira Kurosawa
Metropolis,8,Fritz Lang
Notorious,8,Alfred Hitchcock
"Life, Animated",7,Roger Ross Williams
Everybody Wants Some!!,8,Richard Linklater
The Exterminating Angel,8,Luis Buñuel
The Deer Hunter,7,Michael Cimino
The Discreet Charm of the Bourgeoisie,8,Luis Buñuel
The Cure,8,Charlie Chaplin
Scanners,5,David Cronenberg
Modern Times,8,Charlie Chaplin
Easy Street,7,Charlie Chaplin
Au Hasard Balthazar,7,Robert Bresson
Sicario,7,Denis Villeneuve
Happiness,8,Todd Solondz
Birdman or (The Unexpected Virtue of Ignorance),7,Alejandro González Iñárritu
A Streetcar Named Desire,8,Elia Kazan
Spotlight,7,Tom McCarthy
Drunken Angel,7,Akira Kurosawa
The Evil Dead,8,Sam Raimi
"Rome, Open City",8,Roberto Rossellini
Eyes Without a Face,8,Georges Franju
Kubo and the Two Strings,6,Travis Knight
M,9,Fritz Lang
Free Fire,6,Ben Wheatley
Evil Dead II,7,Sam Raimi
Harakiri,9,Masaki Kobayashi
Three Colors: Blue,8,Krzysztof Kieślowski
Nashville,9,Robert Altman
Double Indemnity,8,Billy Wilder
The Wind That Shakes the Barley,8,Ken Loach
The Parallax View,7,Alan J. Pakula
Three Colors: Red,8,Krzysztof Kieślowski
Ali: Fear Eats the Soul,8,Rainer Werner Fassbinder
Three Colors: White,7,Krzysztof Kieślowski
The Wrong Man,8,Alfred Hitchcock
F for Fake,8,Orson Welles
F for Fake,8,Gary Graver
F for Fake,8,Oja Kodar
F for Fake,8,François Reichenbach
The Searchers,7,John Ford
The Straight Story,8,David Lynch
Our Hospitality,7,Buster Keaton
Our Hospitality,7,John G. Blystone
The Lady from Shanghai,7,Orson Welles
Jules and Jim,7,François Truffaut
Secrets & Lies,9,Mike Leigh
Autumn Sonata,8,Ingmar Bergman
Waking Life,8,Richard Linklater
Viridiana,7,Luis Buñuel
Permanent Vacation,6,Jim Jarmusch
High and Low,9,Akira Kurosawa
Toni Erdmann,8,Maren Ade
The Great Dictator,8,Charlie Chaplin
Tampopo,9,Juzo Itami
"Sherlock, Jr.",8,Buster Keaton
